date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:50:14	137558/137558	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2009:44:55%20GMT	https://piquant.qodeinteractive.com/our-services/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/our-services/index.html	(from https://piquant.qodeinteractive.com/)
06:50:14	25142/25142	---M--	200	added ('OK')	image/jpeg	etag:%226236-59e74c0d1168e%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/dropdown.jpg	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/dropdown.jpg	(from https://piquant.qodeinteractive.com/)
06:50:14	143992/143992	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2009:44:54%20GMT	https://piquant.qodeinteractive.com/shop/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/shop/index.html	(from https://piquant.qodeinteractive.com/)
06:50:14	9950/9950	---M--	200	added ('OK')	image/jpeg	etag:%2226de-59e74c0d3ae9b%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/dropdown-backgorund1.jpg	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/dropdown-backgorund1.jpg	(from https://piquant.qodeinteractive.com/)
06:50:15	109089/109089	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2007:42:16%20GMT	https://piquant.qodeinteractive.com/landing/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/landing/index.html	(from https://piquant.qodeinteractive.com/)
06:50:15	123564/123564	---M--	200	added ('OK')	image/jpeg	etag:%221e2ac-59e74c0d74c5f%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-background.jpg	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-background.jpg	(from https://piquant.qodeinteractive.com/)
06:50:15	6170/6170	---M--	200	added ('OK')	image/png	etag:%22181a-59e74c0d715af%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-1.png	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-1.png	(from https://piquant.qodeinteractive.com/)
06:50:15	139432/139432	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2008:43:23%20GMT	https://piquant.qodeinteractive.com/reservations-contact-form/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/reservations-contact-form/index.html	(from https://piquant.qodeinteractive.com/)
06:50:15	44170/44170	---M--	200	added ('OK')	image/png	etag:%22ac8a-59e74c0d72937%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-2.png	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-2.png	(from https://piquant.qodeinteractive.com/)
06:50:15	168480/168480	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2012:56:27%20GMT	https://piquant.qodeinteractive.com/health-food-home/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/health-food-home/index.html	(from https://piquant.qodeinteractive.com/)
06:50:16	5139/5139	---M--	200	added ('OK')	image/png	etag:%221413-59e74c0d715af%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-10.png	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-10.png	(from https://piquant.qodeinteractive.com/)
06:50:16	217923/217923	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2011:55:10%20GMT	https://piquant.qodeinteractive.com/bar-cafe-home/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/bar-cafe-home/index.html	(from https://piquant.qodeinteractive.com/)
06:50:16	13308/13308	---M--	200	added ('OK')	image/png	etag:%2233fc-59e74c0d72d1f%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-7a.png	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-7a.png	(from https://piquant.qodeinteractive.com/)
06:50:16	185799/185799	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2008:42:57%20GMT	https://piquant.qodeinteractive.com/restaurant-home/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/restaurant-home/index.html	(from https://piquant.qodeinteractive.com/)
